현재 에폭: 1, 총 에폭: 20, 평균 오차: 5.035793309211731
현재 에폭: 2, 총 에폭: 20, 평균 오차: 4.359621912240982
현재 에폭: 3, 총 에폭: 20, 평균 오차: 3.8411159288883208
현재 에폭: 4, 총 에폭: 20, 평균 오차: 3.3528708708286286
현재 에폭: 5, 총 에폭: 20, 평균 오차: 2.895089521408081
현재 에폭: 6, 총 에폭: 20, 평균 오차: 2.4886344057321548
현재 에폭: 7, 총 에폭: 20, 평균 오차: 2.08414562523365
현재 에폭: 8, 총 에폭: 20, 평균 오차: 1.736016342639923
현재 에폭: 9, 총 에폭: 20, 평균 오차: 1.4050231909751891
현재 에폭: 10, 총 에폭: 20, 평균 오차: 1.1170557647943498
현재 에폭: 11, 총 에폭: 20, 평균 오차: 0.8794514557719231
현재 에폭: 12, 총 에폭: 20, 평균 오차: 0.6827320744097233
현재 에폭: 13, 총 에폭: 20, 평균 오차: 0.5417759317159653
현재 에폭: 14, 총 에폭: 20, 평균 오차: 0.42391897931694983
현재 에폭: 15, 총 에폭: 20, 평균 오차: 0.342559389770031
현재 에폭: 16, 총 에폭: 20, 평균 오차: 0.3080861844867468
현재 에폭: 17, 총 에폭: 20, 평균 오차: 0.26387863397598266
현재 에폭: 18, 총 에폭: 20, 평균 오차: 0.2341515989974141
현재 에폭: 19, 총 에폭: 20, 평균 오차: 0.2212380636483431
현재 에폭: 20, 총 에폭: 20, 평균 오차: 0.20172516468912363
