현재 에폭: 1, 총 에폭: 20, 평균 오차: 5.3028552436828615
현재 에폭: 2, 총 에폭: 20, 평균 오차: 4.622826027870178
현재 에폭: 3, 총 에폭: 20, 평균 오차: 4.283465666770935
현재 에폭: 4, 총 에폭: 20, 평균 오차: 3.9829423844814302
현재 에폭: 5, 총 에폭: 20, 평균 오차: 3.718664733171463
현재 에폭: 6, 총 에폭: 20, 평균 오차: 3.4726079535484313
현재 에폭: 7, 총 에폭: 20, 평균 오차: 3.2316507160663606
현재 에폭: 8, 총 에폭: 20, 평균 오차: 3.019429979324341
현재 에폭: 9, 총 에폭: 20, 평균 오차: 2.7966126155853273
현재 에폭: 10, 총 에폭: 20, 평균 오차: 2.5969900953769685
현재 에폭: 11, 총 에폭: 20, 평균 오차: 2.4034029000997545
현재 에폭: 12, 총 에폭: 20, 평균 오차: 2.20789545238018
현재 에폭: 13, 총 에폭: 20, 평균 오차: 2.0200047236680985
현재 에폭: 14, 총 에폭: 20, 평균 오차: 1.8478848308324813
현재 에폭: 15, 총 에폭: 20, 평균 오차: 1.6764841729402542
현재 에폭: 16, 총 에폭: 20, 평균 오차: 1.5309560179710389
현재 에폭: 17, 총 에폭: 20, 평균 오차: 1.3787187147140503
현재 에폭: 18, 총 에폭: 20, 평균 오차: 1.2471152344346046
현재 에폭: 19, 총 에폭: 20, 평균 오차: 1.1214768353104592
현재 에폭: 20, 총 에폭: 20, 평균 오차: 1.009681361913681
